Arc Center Distance,Diameter,Width,Pitch,Blade Count,Rotational Speed,Thrust
1.75,9,0.25,30,3,1000,1.425432749
1.75,9,0.25,30,3,1500,3.703076923
1.75,9,0.25,45,3,500,0.4569381893
1.75,9,0.25,45,3,1000,1.83575749
1.75,9,0.25,45,3,1500,4.188963932
1.75,9,0.25,45,3,2000,5.843217184
1.75,9,0.25,60,3,1000,1.874642335
1.75,9,0.25,60,3,1500,4.513827133
1.75,9,0.25,60,3,2000,7.032668055
1.75,9,0.75,30,3,500,3.199353978
1.75,9,0.75,30,3,1000,13.01677233
1.75,9,0.75,30,3,1500,26.54209693
1.75,9,0.75,30,3,2000,49.60799011
1.75,9,0.75,30,3,2500,53.39452878
1.75,9,0.75,45,3,500,1.025601497
1.75,9,0.75,45,3,1000,4.052052373
1.75,9,0.75,45,3,1500,8.816958486
1.75,9,0.75,45,3,2000,15.10210532
1.75,9,0.75,45,3,2500,22.20296488
1.75,9,0.75,60,3,500,0.8205196498
1.75,9,0.75,60,3,1000,3.199518481
1.75,9,0.75,60,3,1500,7.214963362
1.75,9,0.75,60,3,2500,19.31138283
1.75,9,1.25,30,3,500,3.871605941
1.75,9,1.25,30,3,1000,13.54224192
1.75,9,1.25,30,3,1500,41.25352086
1.75,9,1.25,30,3,2000,78.90164779
1.75,9,1.25,30,3,2500,108.5891068
1.75,9,1.25,45,3,500,1.270300087
1.75,9,1.25,45,3,1000,5.338693715
1.75,9,1.25,45,3,1500,12.31438118
1.75,9,1.25,45,3,2500,31.63360732
1.75,9,1.5,30,3,500,4.005583263
1.75,9,1.5,30,3,1000,16.27744748
1.75,9,1.5,30,3,1500,36.5945943
1.75,9,1.5,30,3,2000,53.45750324
1.75,9,1.5,30,3,2500,80.70834766
1.75,9,1.5,45,3,500,2.070925134
1.75,9,1.5,45,3,1000,7.828277389
1.75,9,1.5,45,3,1500,18.48199293
1.75,9,1.5,45,3,2500,54.56683656
1.75,11,0.25,30,3,500,0.8298600935
1.75,11,0.25,30,3,1000,3.359418786
1.75,11,0.25,30,3,1500,5.498818222
1.75,11,0.25,45,3,500,0.924208313
1.75,11,0.25,45,3,1000,3.765351297
1.75,11,0.25,45,3,1500,7.775220226
1.75,11,0.25,60,3,500,0.9946350411
1.75,11,0.25,60,3,1000,4.078827001
1.75,11,0.25,60,3,1500,9.170903979
1.75,11,0.25,60,3,2000,11.46572361
