Arc Center Distance,Diameter,Width,Pitch,Blade Count,Thickness,Rotational Speed,Thrust,Efficiency
0.25,9,1.5,45,3,0.05,500,6.804407952,0.38,
0.25,9,1.5,45,3,0.05,1000,28.20666029,0.41,
0.25,9,1.5,45,3,0.05,1500,61.6150873,0.40,
0.25,9,1.5,45,3,0.05,2000,114.1915323,0.44,
0.25,9,1.5,45,3,0.05,2500,168.5416475,0.42,
0.25,9,1.5,60,3,0.05,500,3.033598237,0.18,
0.25,9,1.5,60,3,0.05,1000,12.05744118,0.19,
0.25,9,1.5,60,3,0.05,1500,27.70396681,0.21,
0.25,9,1.5,60,3,0.05,2000,24.40740107,0.07,
0.25,9,1.5,60,3,0.05,2500,50.10739824,0.12,
0.25,11,0.25,30,3,0.05,500,0.2668019923,0.01,
0.25,11,0.25,30,3,0.05,1000,1.28990509,0.01,
0.25,11,0.25,30,3,0.05,1500,1.150082602,0.00,
0.25,11,0.25,30,3,0.05,2000,0.4663998598,0.00,
0.25,11,0.25,30,3,0.05,2500,-0.1914942508,0.00,
0.25,11,0.25,45,3,0.05,500,0.3564188734,0.01,
0.25,11,0.25,45,3,0.05,1000,0.01344089468,0.00,
0.25,11,0.25,45,3,0.05,1500,0.2835671934,0.00,
0.25,11,0.25,45,3,0.05,2000,-0.2435713615,0.00,
0.25,11,0.25,45,3,0.05,2500,-0.1331083363,0.00,
0.25,11,0.25,60,3,0.05,500,1.813741043,0.11,
0.25,11,0.25,60,3,0.05,1000,0.8666599695,0.00,
0.25,11,0.25,60,3,0.05,1500,0.8801826326,0.00,
0.25,11,0.25,60,3,0.05,2000,1.196779638,0.00,
0.25,11,0.25,60,3,0.05,2500,0.5582287604,0.00,
0.25,11,0.75,30,3,0.05,500,5.441275449,0.12,
0.25,11,0.75,30,3,0.05,1000,22.09964584,0.13,
0.25,11,0.75,30,3,0.05,1500,2.95497526,0.00,
0.25,11,0.75,30,3,0.05,2000,0.7070534996,0.00,
0.25,11,0.75,30,3,0.05,2500,1.650007128,0.00,
0.25,11,0.75,45,3,0.05,500,7.672642692,0.28,
0.25,11,0.75,45,3,0.05,1000,17.37478931,0.12,
0.25,11,0.75,45,3,0.05,1500,55.7015168,0.21,
0.25,11,0.75,45,3,0.05,2000,119.5394823,0.31,
0.25,11,0.75,45,3,0.05,2500,13.84094425,0.00,
0.25,11,0.75,60,3,0.05,500,7.480047014,0.35,
0.25,11,0.75,60,3,0.05,1000,33.23062312,0.44,
0.25,11,0.75,60,3,0.05,1500,51.26850377,0.24,
0.25,11,0.75,60,3,0.05,2000,81.92875431,0.21,
0.25,11,0.75,60,3,0.05,2500,19.76428746,0.01,
0.25,11,1.25,30,3,0.05,500,10.59935784,0.22,
0.25,11,1.25,30,3,0.05,1000,27.04562626,0.12,
0.25,11,1.25,30,3,0.05,1500,53.7742994,0.10,
0.25,11,1.25,30,3,0.05,2000,134.8313709,0.19,
0.25,11,1.25,30,3,0.05,2500,23.07402699,0.01,
0.25,11,1.25,45,3,0.05,500,9.670654237,0.21,
0.25,11,1.25,45,3,0.05,1000,34.46444031,0.18,
0.25,11,1.25,45,3,0.05,1500,78.35586029,0.20,
0.25,11,1.25,45,3,0.05,2000,216.2841808,0.40,
0.25,11,1.25,45,3,0.05,2500,29.25449365,0.01,
0.25,11,1.25,60,3,0.05,500,5.907830724,0.31,
0.25,11,1.25,60,3,0.05,1000,24.05502468,0.34,
0.25,11,1.25,60,3,0.05,1500,37.51100849,0.21,
0.25,11,1.25,60,3,0.05,2000,93.6229737,0.37,
0.25,11,1.25,60,3,0.05,2500,55.09928822,0.08,
0.25,11,1.5,30,3,0.05,500,6.864371642,0.06,
0.25,11,1.5,30,3,0.05,1000,40.75528112,0.13,
0.25,11,1.5,30,3,0.05,1500,65.78858194,0.08,
0.25,11,1.5,30,3,0.05,2000,163.7494969,0.16,
0.25,11,1.5,30,3,0.05,2500,32.18855041,0.01,
0.25,11,1.5,45,3,0.05,500,6.26555437,0.09,
0.25,11,1.5,45,3,0.05,1000,60.91674791,0.36,
0.25,11,1.5,45,3,0.05,1500,90.15110123,0.20,
0.25,11,1.5,45,3,0.05,2000,230.9471402,0.36,
0.25,11,1.5,45,3,0.05,2500,25.17709608,0.00,
0.25,11,1.5,60,3,0.05,500,8.338631886,0.27,
0.25,11,1.5,60,3,0.05,1000,34.41891806,0.30,
